Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 50 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 2.1 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 75 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 2.1 MM X 75 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC BEH C18 (1.8 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C18 (1.8 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C18 (1.9 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C18 (1.9 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C8 (1.7 µm, 1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C8 (1.7 µM, 1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C8 (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C8 (1.8 µM, 1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC BEH HILIC (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC BEH HILIC (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC BEH Phenyl (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC BEH PHENYL (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH Phenyl (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC BEH PHENYL (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC BEH Shield RP18 (1.7 µm, 2.1 mm x 50 mm; Waters)	ACQUITY UPLC BEH SHIELD RP18 (1.7 µM, 2.1 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC C18 (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC C18 (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC C18 (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC C18 (1.7 µm, 2.1 mm x 50 mm; Waters)	ACQUITY UPLC C18 (1.7 µM, 2.1 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC C18 (1.8 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC CSH C18 (1.7 µm, 1 mm x 150 mm; Waters)	ACQUITY UPLC CSH C18 (1.7 µM, 1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC CSH C18 (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC CSH C18 (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC CSH Phenyl-Hexyl (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC CSH PHENYL-HEXYL (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC HSS C18 (1.8 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC HSS C18 (1.8 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC HSS C18 (1.8 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC HSS C18 (1.8 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC HSS Cyano (CN) (1.8 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC HSS CYANO (CN) (1.8 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC HSS PFP (1.8 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC HSS PFP (1.8 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)	ACQUITY UPLC HSS T3 (1.7 µM, 2 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC HSS T3 (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC HSS T3 (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 150 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
